Название вакансии,Размер заработной платы,Название компании,Образование,Уровень английского,Опыт работы,Сертификация,Способ оформления,Методы управления,Регион,contains_project_keywords
Младший Проектный менеджер в ИТ (Junior Project Manager (IT),60000.0,PAYMO,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов,200000.0,Автомакон,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта,200000.0,Антей-СтройИнвест,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Самара,True
Project Manager,,PMP Tech,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; kanban; scrum; waterfall,Санкт-Петербург,True
Бизнес ассистент / Junior project manager (IT),30000.0,Migra,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,100000.0,ОФИСМАГ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Воронеж,True
Руководитель проекта,100000.0,Вивокомп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Начинающий Менеджер проектов (Зеленоград),70000.0,ИГРАТЕКС,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Зеленоград,True
Менеджер проектов в «Северсталь» (Лидерская программа),,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Астрахань,True
Менеджер проектов в «Северсталь» (Лидерская программа),,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Череповец,True
Project manager | Менеджер по запускам,,Бутик трансформации жизни Юлии Ланске,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов / Менеджер по работе с партнёрами (светотехника),100000.0,Аледо,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (Направление СКВ),100000.0,ПоморКом,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Архангельск,True
Руководитель проекта,80000.0,СМАРТ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов,150000.0,Лента плюс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта,100000.0,Люгрос,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новосибирск,True
Проектный менеджер / progect manager,40000.0,BDSM-digital,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Частичная занятость,agile; scrum; waterfall,Тюмень,True
Менеджер проектов в «Северсталь» (Лидерская программа),,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Ульяновск,True
Менеджер IT-проектов (офис),100000.0,Колл-Тулз,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта,90000.0,AxeTech,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,45000.0,IQ Media,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Курган,True
Координатор проектов (удаленно),60000.0,КИК,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Project менеджер (Стартапер),100000.0,Раздоров и Компания,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,70000.0,Беар Строй,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Калининград,True
Project manager,70000.0,Волга-Волга,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер по работе с клиентами / Менеджер проектов (выставочные стенды),150000.0,ЭКСПОСТРОЙ,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Координатор / менеджер проектов,100000.0,Девар Петро,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,120000.0,ИТЛаб,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Project manager,80000.0,Максимов Олег Владимирович,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,50000.0,Mr.Snab,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Пенза,True
Начинающий менеджер проектов,35000.0,CRM-group,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Рязань,True
