Название вакансии,Размер заработной платы,Название компании,Образование,Уровень английского,Опыт работы,Сертификация,Способ оформления,Методы управления,Регион,contains_project_keywords
Менеджер проектов,50000.0,Кадровые Решения,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов наружного освещения,120000.0,Брайт Бюро,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,160000.0,Группа ЛСР,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов / Менеджер по работе с партнёрами (светотехника),80000.0,Лед-Би-Ай,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,150000.0,БИК-Информ,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта (вентиляция),150000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,50000.0,Орион,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,,Brandson,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,80000.0,Гермес Групп,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,80000.0,Стелла,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по интеграции проектов,100000.0,SKAI,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Технический менеджер проектов,100000.0,"Протей, НТЦ",Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер отдела продаж/менеджер проектов,80000.0,Проект Строй,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта / Руководитель проекта (электромонтаж),100000.0,Новые световые решения,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,112000.0,ОБИТ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,scrum,Санкт-Петербург,True
Менеджер проектов,75000.0,ВКУСТЕР,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,50000.0,ТД Добромаш,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,50000.0,РУКОН СПГруппа,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Ведущий менеджер проектов,70000.0,БС Актив,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по проектам,60000.0,Морские Комплексные Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,200000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта (удаленно),80000.0,Сеть студий POSH,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,50000.0,Фокадока,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (мебель и интерьерные решения),100000.0,Мелтзер Групп,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта овик,60000.0,ЭлВент,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта / Senior Project manager,80000.0,Topface Media,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов / Помощник руководителя,40000.0,Exceed,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Заместитель руководителя проектов / менеджер проектов / Руководитель проектов,120000.0,Технопарк Смоленка,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,77000.0,ФГБОУ ВО Санкт-Петербургский государственный университет,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Старший менеджер проектов,115000.0,ОБИТ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта/Руководитель проекта (HVAC),150000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов в «Северсталь» (Лидерская программа),,FutureToday,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Помощник ГИПа/ Менеджер проекта/Администратор проекта,65000.0,ПРОТИС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер IT-проектов,130000.0,Metacommerce,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,80000.0,Колд Трейд,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по управлению проектами,100000.0,Студия Лестниц,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,100000.0,ЛАЗЕР-ТОР,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,75000.0,Динат,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Проджект-менеджер - Project Manager в онлайн школу,60000.0,Новикова Алевтина Ильинична,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,120000.0,"ЭТМ, компания",Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта (инженер),100000.0,АМ Сервис,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Ассистент менеджера проектов,,Topface Media,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,80000.0,Институт телекоммуникаций,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов ИТ,120000.0,Эвентус,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта / Инженер проекта,80000.0,Управление Энергией,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов РИЦ АФС,80000.0,Технопарк Санкт-Петербурга,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Помощник руководителя проекта / Менеджер проектов,110000.0,НИИРПИ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (тренинги),100000.0,Долсо,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (вентиляционное оборудование),150000.0,РМ Вент,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project manager,120000.0,QUARTA,Не требуется,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель (менеджер) проектов,100000.0,НТА,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов/ассистент арт-директора,,REDMOND,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов по внедрению,100000.0,SKAI,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,150000.0,Филиал в г. Санкт-Петербург АО Концерн Радиостроения Вега,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов по аппаратной разработке,70000.0,Код Грин Инжиниринг,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project manager / Администратор проектов,,Accent Consulting,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта в сфере образования,50000.0,Своя Вода,Не требуется,Не требуется,Нет опыта,Не указано,Частичная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта,70000.0,МегаТек,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Помощник менеджера проекта,65000.0,ReMarked,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта / Проджект менеджер / Project Manager,50000.0,BrainStat,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (колл-центр),70000.0,Реплай,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,80000.0,Дисплей Продакшн,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,100000.0,МДМ-Лайт,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project Manager,,Манзони,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile,Санкт-Петербург,True
Project manager,150000.0,Фаст Софт,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,scrum,Санкт-Петербург,True
Менеджер проекта,80000.0,SmartCOM,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер веб-проектов / Проджект-менеджер / Руководитель проектов,120000.0,FINIK,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project-manager (менеджер проектов),80000.0,Лапшин Никита Михайлович,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,75000.0,БирВайн,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Проектный менеджер / Project Manager,90000.0,SPIKS,Среднее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,agile; scrum,Санкт-Петербург,True
Менеджер проектов (специалист НКО),60000.0,БФ Помощь,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов,80000.0,Centec,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (руководитель проектов),80000.0,ОМП,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по маркетплейсам / Менеджер проектов,45000.0,SNTN,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Частичная занятость,Не указаны,Санкт-Петербург,True
Специалист ПТО / менеджер проекта,85000.0,Группа компаний СТС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проекта/менеджер проекта,80000.0,ТПM-энерго,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер digital-проектов,75000.0,Интерэстейт,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер IT-проектов,62150.0,Решение,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер региональных проектов УДАЛЕННО,55000.0,Глобал Инстор,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проекта,120000.0,Трест,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проекта,100000.0,ИК Авер Групп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по организации MICE проектов,100000.0,Старлайнер,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов (проектные продажи),140000.0,Гидроизоляционные инженерные сооружения,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов,120000.0,СКС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
"Менеджер проекта, строительство, алюминиевые конструкции",150000.0,Кадровое агентство ЕВА,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов / Event-менеджер (организация зарубежных конференций),80000.0,АйСиэФ Групп,Не требуется,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Операционный менеджер / Project manager / Проджект-менеджер / Руководитель проектов,200000.0,ROI Media (ООО Пилот),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Material Optimization Project Manager/Менеджер проектов по оптимизации материалов,155000.0,P&G Gillette,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project-manager,100000.0,Art Hookah Family,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile; kanban,Санкт-Петербург,True
Менеджер по продажам / Менеджер проектов,100000.0,Гранит-Трейд,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов (проектные продажи),150000.0,Кабельпик,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Digital project manager,250000.0,НОНТОН.РФ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile; scrum,Санкт-Петербург,True
Руководитель IT проектов,200000.0,РОССИННО,Высшее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project manager/Junior Product manager,,3205.team,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Администратор проектов,73000.0,СПб ГУП «АТС Смольного»,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project manager/Менеджер интернет проектов,90000.0,Habit Marketing,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по расчету проектов,65000.0,ПСК-ДВЕРИ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project manager в e-commerce сфере (Amazon),200000.0,GORA GROUP LLC,Не требуется,Требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер строительных проектов,90000.0,Гарант Качества,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта по работе с ключевыми клиентами,100000.0,Эксклюзив,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по привлечению проектов ОВиК,80000.0,Аэротек Проектные Решения,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project manager / Проджект-менеджер / Руководитель проектов,150000.0,ROI Media (ООО Пилот),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Проджект-менеджер Интернет-проектов,1000.0,Listing.Help,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по работе с клиентами (account manager / project manager),70000.0,RUNITA,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Помощник руководителя проектов,70000.0,ПартнерИнвест24,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов,98391.0,ЭкспоФорум Интернэшнл,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project manager / Операционный менеджер,200000.0,ROI Media (ООО Пилот),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Производственный проектный менеджер,100000.0,EG Production,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Помощник руководителя проектов,70000.0,Невский инструментальный завод,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (организатор мероприятий),75000.0,Технопарк Санкт-Петербурга,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Администратор IT-проектов/Бизнес-координатор,80000.0,Группа БВ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов (торговое оборудование),100000.0,Штонда,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов (строительство),110000.0,Велеса,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по продажам/ Руководитель проекта,120000.0,АэрКом,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по проектным продажам (Руководитель проектов),130000.0,Камский кабель,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проекта,80000.0,Компания НАВИС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проектов (загородное строительство),150000.0,Трилогия,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер IT-проектов,108000.0,Петербургская Недвижимость,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
"Менеджер интернет-проектов / Project manager (SEO, контекст)",130000.0,TRINET,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель отдела управления проектами (проектное управление),120000.0,Строй Система Технологии,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проекта,180000.0,Productive heads,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
IT Project Manager,80000.0,Университет ИТМО,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum; waterfall,Санкт-Петербург,True
Middle Project Manager в продукт Varwin XRMS,120000.0,Varwin,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile,Санкт-Петербург,True
Руководитель проектов,150000.0,НТЦ Комплексные Системы Мониторинга,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Lead Project Manager,180000.0,DIGINETICA,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Проект-менеджер (м. Нарвская),120000.0,"ЭТМ, компания",Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Event-менеджер/Координатор проектов в модельное Event агентство,70000.0,Diamond Communication,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов (внедрение ИТ систем),150000.0,Контек,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта Амазон (удаленно),70000.0,Likesoft,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Главный инженер проекта / Руководитель проекта,90000.0,ПЕРВЫЙ ПРОЕКТНЫЙ ИНСТИТУТ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов (инвестиционные проекты),100000.0,Профессиональные Комплексные Решения,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Junior project manager 1С в IT-компанию,50000.0,АйТи-Солюшн,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по выставочным проектам,45000.0,ВТО-ЭкспоФормула,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Помощник руководителя брендинговых проектов/аккаунт-менеджер,60000.0,Коруна брендинг,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Middle Project Manager в FoodTech,130000.0,Важная рыба,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,scrum,Санкт-Петербург,True
Ведущий менеджер по продажам/Руководитель проектов,180000.0,Баир Северо-Запад,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
"Аккаунт-менеджер / менеджер проектов (Digital, e-commerce) (Junior+/Middle)",70000.0,Kokoc Group,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер BTL проектов,70000.0,БТЛ-ПИТЕР,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Account manager/ Руководитель проектов,90000.0,РеКреация,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проекта (общестрой),110000.0,Лидер,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер продажи IT проектов (на средний и крупный бизнес),70000.0,Первый Бит,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Помощник (ассистент) Руководителя проекта,80000.0,Эс-сервис,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проекта / Исполнительный менеджер,200000.0,IVALAR partners,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель строительных проектов,150000.0,Энтемс,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов 1C,200000.0,Инфостарт,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов со знанием 1С ERP,200000.0,Центр консалтинговых проектов,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель event-проектов,100000.0,ТОК,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Бизнес-аналитик (Менеджер IT-проектов),70000.0,ПинБокс,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проекта /организация выставки,150000.0,Тандем-Истейт,Высшее,Не требуется,От 3 до 6 лет,Не указано,Проектная работа,Не указаны,Санкт-Петербург,True
Руководитель проектов внедрения,140000.0,ALLIO,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Администратор проектов (Удаленно),50000.0,Reelmotion games,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; kanban; scrum,Санкт-Петербург,True
Менеджер проекта (Вентиляция),200000.0,Бриз - Климатические Системы,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
"Руководитель ИТ-проектов (middle/middle+, гибрид)",200000.0,NEXTEPIC,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile,Санкт-Петербург,True
Офис-менеджер (Строй Проект),60000.0,Строй Проект,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта в Аутсорсинговую компанию,50000.0,Орион,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Руководитель проектов Битрикс24 в IT-компанию,80000.0,АйТи-Солюшн,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по управлению проектами в строительном проектировании,90000.0,Северо-Западный центр услуг,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Заместитель руководителя проектов,150000.0,HR Инжиниринг,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по проектным продажам В2В\руководитель проектов,200000.0,AVENTEL,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
IT Project Manager,100000.0,Умножить,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile; scrum,Санкт-Петербург,True
"Менеджер по продажам/проектам электрооборудования (ЭУИ, розетки и выключатели)",,Студия Проект,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по сопровождению проектов загородных домов и коттеджей,90000.0,Хорошие дома,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Project Manager / Проджект менеджер в онлайн школу,100000.0,Трубицин Денис Олегович,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер по проектам (потолочные системы),100000.0,Smart Group,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Junior Project manager/проектный менеджер в агентство по трафику (младший маркетолог),25000.0,PRIMUM Digital Agency,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Частичная занятость,Не указаны,Санкт-Петербург,True
Менеджер по комплектации дизайн-проектов,60000.0,Реал-Проект,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
