Vacancy,Salary,Company,Education,English,WorkExperience,Certification,OperatingMode,ManagementMethods,Region
Руководитель проекта/менеджер проекта,80000.0,ТПM-энерго,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Project manager / Операционный менеджер,200000.0,ROI Media (ООО Пилот),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Account-менеджер / Руководитель проектов (event),100000.0,Advanza,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,65000.0,Технокорп,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Саратов
Менеджер по продажам / Менеджер проектов,100000.0,Гранит-Трейд,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов по франшизе,100000.0,Yogi Room,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Частичная занятость,Не указаны,Москва
Менеджер проектов (офис),70000.0,Трофименко Сергей Александрович,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер проектов / аккаунт менеджер / digital агентство,60000.0,"Новатор, РА",Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Чебоксары
Проектный менеджер (оборудование),90000.0,БелИнтерФлоу,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Трафик-менеджер / Менеджер по координации проектов,100000.0,Rabbit & Carrot,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,150000.0,ВымпелСтрой,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва
Material Optimization Project Manager/Менеджер проектов по оптимизации материалов,155000.0,P&G Gillette,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта (Event/деловые мероприятия/удаленно),60000.0,Группа компаний МАЛИБУ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов по водоподготовке и очистке,120000.0,AMCOR,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов,40000.0,Уроборос,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Калининград
Администратор проекта,100000.0,СЗ Новая Ливадия,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ялта
Ведущий менеджер проектов/руководитель направления,100000.0,ВОРЛД Русланд,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород
Руководитель проектов,100000.0,Уралхиммаш,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер проектов/Менеджер по продажам (строительные материалы),100000.0,ТЕГОЛА,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,150000.0,СКС,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Проджект менеджер,90000.0,Арт Пробуждение,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер digital-проектов,80000.0,Онли,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новокузнецк
Руководитель проектов (Менеджер проектных продаж),150000.0,Энергохолдинг,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Project manager (менеджер по IT проекту),100000.0,АйТи Спейшл,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum,Калининград
Менеджер проектов (светотехническое оборудование),120000.0,Consero,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель IT проектов,200000.0,РОССИННО,Высшее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (проектные продажи),150000.0,Кабельпик,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Project manager / Руководитель проектов,150000.0,Mosolov Recruiting,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,150000.0,Виза Виз,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Middle / Проект-менеджер/маркетолог,80000.0,GILMARK интернет-маркетинговое агентство,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Казань
Менеджер проектов в креативное агентство,60000.0,Doodah,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Координатор проекта,130000.0,НИФС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Project manager/Junior Product manager,100000.0,3205.team,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Senior Digital Project Manager / Аккаунт-менеджер / Senior Account Manager / Менеджер проектов,100000.0,VIRUS DIGITAL,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов,120000.0,ФГУП Дирекция по строительству в ДВФО,Не требуется,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,100000.0,Стройтехкомплект,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,120000.0,Ростелеком,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Кемерово
Менеджер по работе с проектами (Комплектациями),100000.0,WasserKraft,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов/ Интернет-маркетолог(Junior/Middle),30000.0,Novikov Marketing Consulting,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Саранск
Менеджер по ведению проектов IT,55000.0,Артена,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер по развитию проектов,60000.0,Челябинск-Восток-Сервис,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Челябинск
Руководитель проектов,100000.0,ПК Поли-Групп,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Нижний Новгород
Marketing Project manager/Project Manager,100000.0,АП MARKETING,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер реализации проектов в мастерскую декора,45000.0,Мастерская декора Бутоньерка,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Тюмень
Куратор аутсорсинговых проектов Руководитель проектов,80000.0,ЭГ Стафф,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Пермь
Управляющий проектами,100000.0,Рыжков Максим Иванович,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Волгоград
Руководитель проектов,180000.0,Softline,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,180000.0,СПК Спецстройпроект,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Сочи
Менеджер проекта,60000.0,Медицинский Центр Капитал-Здоровье,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Lead of Project Management,200000.0,Doubletapp,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер спецпроектов архитектуры и благоустройства,70000.0,Центр развития территорий,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Благовещенск (Амурская область)
Менеджер по организации BTL-проектов,60000.0,Агентство событий ПРОБТЛ (ООО Промостандарт),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Новосибирск
Менеджер проекта (Дирекция уникальных объектов),118000.0,ППК Единый заказчик,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов / Event-менеджер (организация зарубежных конференций),80000.0,АйСиэФ Групп,Не требуется,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Project manager - Менеджер проектов,80000.0,Иэндти,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,200000.0,Амадеус,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Ковдор
Менеджер проектов,80000.0,Вмп Восток,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Владивосток
Администратор проектов,73000.0,СПб ГУП «АТС Смольного»,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов,50000.0,Прометей,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Иркутск
Project manager / Проджект-менеджер / Руководитель проектов,150000.0,ROI Media (ООО Пилот),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта по работе с ключевыми клиентами,100000.0,Эксклюзив,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов (маркетолог),70000.0,Компания Метта,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Уфа
Менеджер по расчету проектов,65000.0,ПСК-ДВЕРИ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов (мебель),100000.0,Вудкрафтстудио,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
Менеджер интернет-проектов (project manager),90000.0,Индексис,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов (светотехника) АХП,200000.0,ПСК,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Проект-менеджер систем безопасности,100000.0,Территория Безопасности,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,120000.0,ЕТМ-Group,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Липецк
Бренд-менеджер (на проект),100000.0,LOOV,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Проектная работа,Не указаны,Москва
Администратор IT-проектов,90000.0,Gismeteo.ru,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,scrum,Москва
Менеджер проекта,70000.0,Renbox,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Иркутск
Руководитель проектов,98391.0,ЭкспоФорум Интернэшнл,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов,88000.0,Фабрика мебели Витра,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Томск
Руководитель проекта,70000.0,Sowulo,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Курск
Проектный менеджер,150000.0,Мешкова Екатерина Алексеевна,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Иркутск
Менеджер по привлечению проектов ОВиК,80000.0,Аэротек Проектные Решения,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер строительных проектов,90000.0,Гарант Качества,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов (верхнего уровня ПО),200000.0,СофтИнжиниринг,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,agile; scrum,Тула
Project manager в e-commerce сфере (Amazon),200000.0,GORA GROUP LLC,Не требуется,Требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер по проектам фонда капитального ремонта,100000.0,Уральский хризотил (ООО Бфтех),Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Бизнес-Ассистент/Project Manager,50000.0,KRONA.garden,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Челябинск
Менеджер-аналитик web-проектов,120000.0,ОФИСМАГ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile,Воронеж
Менеджер проектов,70000.0,"MedConsult, Переводческое бюро",Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по проектным продажам,200000.0,Компания PERTiX,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
"Продюсер/менеджер проектов по созданию контента (видео, CG)",150000.0,Адкорн,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Project manager/Менеджер интернет проектов,90000.0,Habit Marketing,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер IT-проектов,100000.0,ФБУН ЦНИИ Эпидемиологии Роспотребнадзора,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,kanban; scrum,Москва
Сметчик/ Ассистент менеджера проектов,70000.0,ANS-Group,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Project manager,80000.0,Pedant.ru,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile,Москва
Администратор проекта,70000.0,АО НППКТ,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва
Project Manager (Relationship),170000.0,Центр Исследований и Разработок,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов,90000.0,ГК Альфа,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Набережные Челны
Менеджер интернет-проекта,120000.0,Группа Цеммикс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,60000.0,Ньютон Парк,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Красноярск
Менеджер проектов (В2В),50000.0,Дверные Системы,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Ижевск
Руководитель проектов,100000.0,Smart Group,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Проектный менеджер отдела продаж,150000.0,Камень-Юг,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер по работе с клиентами (account manager / project manager),70000.0,RUNITA,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов/Account manager PPC в digital-агентство,60000.0,Умный Маркетинг,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Пермь
Руководитель проектов,120000.0,Строительная компания 2898,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Концертный менеджер / Менеджер проектов (концертная сфера),100000.0,Солдаут,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов (Маркетинг),60000.0,Группа компаний Лазеры и аппаратура (ООО НПЦ Лазеры и аппаратура ТМ),Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Зеленоград
Помощник руководителя проектов,70000.0,ПартнерИнвест24,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель web-проектов / Менеджер web-проектов,130000.0,Электронное издательство ЮРАЙТ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Помощник руководителя проектов,70000.0,Невский инструментальный завод,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Младший проектный менеджер/ассистент руководителя (технические задачи),30000.0,Tigratika,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов / Event-менеджер (организация зарубежных конференций),80000.0,АйСиэФ Групп,Не требуется,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Ярославль
Руководитель проекта,150000.0,Квадрат,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Тюмень
Руководитель проекта (IT-проекты Sharmax),200000.0,Globaldrive,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по комплектации проектов (Дизайн студия),120000.0,HONKA,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Бизнес Ассистент / Руководитель проектов,50000.0,Чинь Хоанг Хиеп,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов,100000.0,ТТК-Связь,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ростов-на-Дону
Руководитель IT проектов,500000.0,Восток.Софт,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Руководитель проекта,100000.0,Медиагруппа РИМ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Казань
Менеджер по договорной работе и проектам,100000.0,ГК Профитрейд,Высшее,Требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Project manager в онлайн-школу( менеджер по запускам),100000.0,Бутик трансформации жизни Юлии Ланске,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Производственный проектный менеджер,100000.0,EG Production,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Проджект-менеджер / Аккаунт-менеджер (Москва),120000.0,BYTIME,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов в event-агентство,100000.0,Креатив Маркет,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов,80000.0,НПЦ НовАТранс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile,Екатеринбург
Руководитель отдела управления проектами (проектное управление),120000.0,Строй Система Технологии,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,100000.0,Лучшие работодатели Урала,Не требуется,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Челябинск
Проектный Менеджер по запуску Digital-Продуктов,100000.0,Ай Эм Солюшнз,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum,Москва
PMO / Руководитель проектного офиса в digital-агентстве,150000.0,ConvertMe,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Краснодар
Руководитель проектов/Project manager SEO в digital-агентство,60000.0,Умный Маркетинг,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Пермь
Менеджер проектов (организатор мероприятий),75000.0,Технопарк Санкт-Петербурга,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Проджект-менеджер Интернет-проектов,1000.0,Listing.Help,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проектов/Тендерный специалист,80000.0,Проактив Безопасность,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов (строительство),110000.0,Велеса,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
"Бизнес-ассистент, Project manager (удаленно)",70000.0,СТРИТ ЛАЙТ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер IT проектов / IT Project manager,120000.0,Туроператор Русь,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Middle Project Manager IT,120000.0,SOAK,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Middle Project Manager в продукт Varwin XRMS,120000.0,Varwin,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile,Санкт-Петербург
Project Manager / Проджект-менеджер / Продюсер (инфобизнес),150000.0,MILNALI,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по работе с клиентами/ проектный менеджер,100000.0,Рекламно-производственная компания Графит,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Производственный проектный менеджер,100000.0,EG Production,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по проектным продажам (Руководитель проектов),130000.0,Камский кабель,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов,130000.0,ПРО100СВЕТ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Люберцы
Администратор проектов,80000.0,Ростелеком,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Тюмень
Помощник руководителя проекта,80000.0,OILBERG,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта (строительство),120000.0,Велеса,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
"Менеджер интернет-проектов / Project manager (SEO, контекст)",130000.0,TRINET,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Account / Project Manager - Digital,90000.0,Медклуб,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Внутренний координатор/руководитель проектов,90000.0,Группа компаний ЭРГОХАУС,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Химки
Руководитель проекта,180000.0,Productive heads,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,200000.0,Антей-СтройИнвест,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта (цифровые кредитные продукты),180000.0,Ассоциация ФинТех,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Account / Project manager (Marketing),120000.0,Americhip,Не требуется,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
IT Project manager (Внедрение ПО),150000.0,Minervasoft,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по продажам/Руководитель проектов,70000.0,ЭЛСИН,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по сопровождению / куратор проекта,60000.0,Graviton,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Уфа
Помощник руководителя проекта,100000.0,АйКорд,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов (event),180000.0,BRIGHT event agency,Среднее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель IT проектов/Project Manager IT,100000.0,Фрифлекс,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,kanban; scrum,Москва
Технический руководитель проектов,120000.0,ГК ЖИК ГОРОДА КАЗАНИ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Казань
Руководитель проектов,50000.0,Техпроминвест,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Самара
Project manager в digital (SMM проекты),80000.0,Prophet,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,80000.0,Главстолторг,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Lead Project Manager,180000.0,DIGINETICA,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проектов,150000.0,НТЦ Комплексные Системы Мониторинга,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,180000.0,СТК Инвест,Не требуется,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Ростов-на-Дону
Руководитель проектов,150000.0,Примула,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Администратор проекта,87000.0,Интерост,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Event-менеджер/Координатор проектов в модельное Event агентство,70000.0,Diamond Communication,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Руководитель проекта,150000.0,ДВСК-Инжиниринг,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Артем
Project manager / Менеджер интернет-проектов / Интернет-маркетолог,61000.0,Цифра,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Краснодар
Менеджер по ведению проектов,70000.0,РегионПерсонал,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Иваново (Ивановская область)
IT Project Manager,80000.0,Университет ИТМО,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum; waterfall,Санкт-Петербург
Администратор IT-проектов/Бизнес-координатор,80000.0,Группа БВ,Высшее,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер строительного проекта (каркасное домостроение) / Руководитель строительного проекта,200000.0,Урс-Этномир,Высшее,Не требуется,Более 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер по продажам IT проектов,100000.0,ИТ-Сервис,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Администратор проектов,80000.0,Ростелеком,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер по сопровождению проектов,60000.0,Ростелеком,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Красноярск
Ассистент директора по маркетингу / менеджер проектов в маркетинговое агентство,55000.0,Growth Community,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Проджект-менеджер / Project Manager на запуск курсов онлайн-школы (удаленно),65000.0,Академия загородного строительства,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
